gene_id,CONT1,CONT2,CONT3,CONT4,CONT5,CONT6,TREA1,TREA2,TREA3,TREA4,TREA5,TREA6
GENE00441,382,571,566,589,246,461,382,323,277,528,474,458
GENE00442,505,309,230,139,448,401,331,341,495,478,361,518
GENE00443,17,19,4,16,30,10,16,13,15,17,14,17
GENE00444,29,33,42,14,33,30,35,21,33,28,46,14
GENE00445,10,13,13,10,28,9,6,17,23,20,19,17
GENE00446,699,520,564,997,728,913,838,316,934,540,387,1070
GENE00447,32,29,4,19,23,49,24,14,20,25,11,27
GENE00448,121,113,121,163,264,131,58,57,89,126,70,188
GENE00449,236,385,201,302,325,186,219,282,441,244,340,487
GENE00450,9,23,12,19,11,19,4,25,18,20,7,4
GENE00451,1014,1150,474,800,1109,354,1326,1900,498,752,1587,813
GENE00452,246,271,595,318,121,183,654,745,576,807,1090,1468
GENE00453,274,293,166,163,269,401,669,490,1108,705,818,1174
GENE00454,398,397,132,574,182,330,212,409,141,355,422,396
GENE00455,5,12,3,5,5,10,5,5,10,9,4,11
GENE00456,145,123,164,123,129,83,169,227,283,170,176,178
GENE00457,1464,634,984,553,914,705,1587,872,610,669,715,609
GENE00458,65,70,86,41,64,87,30,65,83,43,64,68
GENE00459,35,15,20,29,10,15,23,25,20,32,43,29
GENE00460,102,92,146,127,280,64,273,119,191,223,366,105
GENE00461,258,101,62,101,135,264,214,151,260,171,244,215
GENE00462,1177,1066,1000,1081,2275,557,615,578,1009,1174,2274,1434
GENE00463,847,718,594,817,1045,816,766,312,1139,684,814,690
GENE00464,5,7,3,3,8,5,10,11,8,3,8,10
GENE00465,465,566,300,529,390,544,354,435,317,432,285,445
GENE00466,32,55,39,39,28,19,44,46,41,35,81,18
GENE00467,338,135,382,380,310,308,321,556,258,288,264,391
GENE00468,46,147,190,74,94,81,54,99,79,104,157,184
GENE00469,1531,760,733,1600,925,1505,1550,633,1167,1019,1272,699
GENE00470,23,13,29,27,23,32,4,9,13,14,6,9
GENE00471,14,15,17,16,32,49,25,11,26,37,15,7
GENE00472,674,423,570,672,489,486,691,798,712,418,633,521
GENE00473,234,457,317,246,323,203,311,202,423,231,289,335
GENE00474,25,21,13,18,24,25,13,12,17,6,12,21
GENE00475,1392,1443,1602,927,401,479,382,1287,1161,814,859,1706
GENE00476,12,13,11,14,13,4,5,10,14,21,16,16
GENE00477,1163,1901,880,1644,1714,1196,3129,691,1209,1731,1789,2030
GENE00478,6,11,4,3,5,8,5,4,7,7,7,2
GENE00479,7,14,10,7,2,3,4,10,8,4,5,9
GENE00480,272,234,361,225,173,306,365,251,117,104,262,173
GENE00481,195,175,289,283,307,300,436,264,127,328,368,349
GENE00482,10,14,4,15,18,26,13,27,8,13,15,10
GENE00483,490,492,303,905,1176,695,351,376,235,501,665,394
GENE00484,209,156,555,411,412,392,339,458,233,466,420,179
GENE00485,18,38,56,46,14,78,8,28,52,9,49,27
GENE00486,11,33,22,12,35,19,25,30,10,27,28,30
GENE00487,390,907,719,680,1039,1273,1204,920,729,1155,1653,1082
GENE00488,865,736,859,641,493,320,1368,308,552,298,523,499
GENE00489,57,47,85,61,68,65,65,47,92,78,83,123
GENE00490,14,12,16,12,22,14,6,10,10,18,6,23
GENE00491,18,12,5,10,23,7,21,12,30,14,23,42
GENE00492,418,113,181,94,185,248,188,110,367,206,378,141
GENE00493,813,967,766,654,1551,1291,421,1657,612,1239,790,626
GENE00494,242,305,123,117,254,128,137,294,101,115,241,277
GENE00495,1096,1667,876,2100,830,1427,3153,1460,1963,587,877,864
GENE00496,899,830,2167,1928,1960,1956,735,3052,3420,1535,500,2102
GENE00497,5,6,6,12,8,6,8,5,14,9,10,7
GENE00498,4,12,16,29,8,15,17,7,13,15,6,21
GENE00499,133,222,104,201,67,101,139,98,219,219,62,99
GENE00500,83,62,31,33,46,33,71,125,117,123,83,55
GENE00501,24,25,36,31,36,29,34,26,20,5,23,10
GENE00502,412,295,278,430,282,308,162,159,60,67,84,76
GENE00503,1927,1562,2193,978,2365,1130,2473,2130,1193,683,1319,935
GENE00504,1239,789,2060,1227,2238,580,1632,1709,1763,2725,2056,1610
GENE00505,167,78,128,49,265,50,107,108,49,113,118,156
GENE00506,84,111,132,101,63,113,18,78,49,55,51,28
GENE00507,78,60,58,21,87,78,100,91,47,48,90,53
GENE00508,407,421,357,698,422,661,415,526,607,507,262,240
GENE00509,20,27,18,33,31,36,45,66,74,35,40,12
GENE00510,85,108,123,118,121,116,109,250,183,68,178,134
GENE00511,661,511,768,319,272,479,465,441,698,724,337,683
GENE00512,316,1011,692,888,1112,497,607,802,449,781,411,307
GENE00513,65,114,130,91,84,64,42,38,9,28,17,22
GENE00514,2560,936,1845,2176,2801,2392,3590,2664,4012,7122,4257,2458
GENE00515,12,6,1,7,8,14,8,12,8,10,11,9
GENE00516,10,9,3,2,5,20,7,5,4,8,8,11
GENE00517,124,155,153,289,101,155,181,319,207,130,214,260
GENE00518,12,5,8,12,1,2,0,2,3,12,6,4
GENE00519,346,507,189,260,394,308,169,439,612,326,319,366
GENE00520,308,637,379,1517,622,957,1197,617,906,494,1111,1082
GENE00521,258,234,86,139,219,332,55,73,54,89,121,39
GENE00522,54,74,48,38,60,50,74,47,64,57,70,44
GENE00523,11,3,7,7,5,13,1,15,8,2,2,6
GENE00524,7,14,2,27,15,8,16,25,14,19,28,14
GENE00525,1678,894,1004,1607,1224,1642,1259,835,2400,930,1249,1351
GENE00526,23,19,20,18,16,18,11,15,27,26,28,18
GENE00527,61,120,96,163,83,84,34,82,106,95,90,60
GENE00528,57,338,109,99,178,255,157,211,101,223,213,206
GENE00529,68,145,143,106,36,65,67,119,73,62,108,29
GENE00530,66,61,77,94,179,90,137,53,94,93,73,166
GENE00531,1283,1142,1049,766,1357,1235,948,1118,569,1049,974,1408
GENE00532,94,43,126,116,51,117,57,87,90,89,88,91
GENE00533,58,57,60,87,57,49,133,97,54,80,56,64
GENE00534,11,8,9,9,7,15,9,6,9,13,7,8
GENE00535,167,189,357,344,255,217,75,172,85,168,95,95
GENE00536,212,287,298,470,165,350,654,586,637,438,153,353
GENE00537,39,38,31,17,28,28,13,29,33,26,43,17
GENE00538,850,1231,396,1481,640,642,518,1226,1091,613,579,747
GENE00539,430,864,553,629,499,602,505,676,464,361,778,507
GENE00540,1073,267,781,762,1221,753,308,1013,943,788,698,874
GENE00541,3,3,2,8,9,10,4,6,2,4,3,3
GENE00542,9,4,4,7,4,1,3,7,15,5,3,6
GENE00543,13,14,18,25,25,23,29,18,19,7,21,24
GENE00544,25,19,62,19,12,27,26,32,31,19,18,25
GENE00545,9,8,6,9,10,4,14,2,10,9,14,18
GENE00546,6,17,2,6,7,6,8,9,10,3,6,8
GENE00547,121,53,35,73,62,30,97,102,67,33,50,53
GENE00548,1335,2890,1742,2595,1918,940,2151,1026,1402,1814,1714,1198
GENE00549,562,1386,1603,1090,1176,1027,1495,1382,1200,1132,1286,966
GENE00550,94,103,65,67,94,108,90,99,97,81,150,161
GENE00551,6,8,5,7,10,13,6,7,1,13,8,11
GENE00552,7,8,7,9,5,4,17,13,13,12,9,9
GENE00553,509,679,989,652,988,704,912,710,250,1133,367,643
GENE00554,384,439,162,278,373,238,602,412,512,212,148,301
GENE00555,38,35,41,28,54,49,23,45,52,39,43,29
GENE00556,57,58,36,80,75,110,86,96,87,31,84,118
GENE00557,232,160,196,322,207,346,277,173,244,169,334,218
GENE00558,101,83,69,112,121,68,248,225,122,100,234,152
GENE00559,120,95,68,56,74,166,86,108,139,162,208,77
GENE00560,5,13,2,22,14,12,11,4,18,8,8,12
GENE00561,80,74,34,88,83,94,22,22,23,34,58,18
GENE00562,1983,1597,1099,1772,1095,1351,2830,1978,1003,1315,889,1298
GENE00563,168,243,38,352,196,183,126,170,250,229,149,284
GENE00564,8,10,6,8,6,25,12,3,1,4,10,11
GENE00565,1025,579,2533,2060,4234,1452,433,378,886,391,311,846
GENE00566,64,87,168,214,249,334,183,167,272,147,255,159
GENE00567,20,35,34,26,28,15,21,27,20,46,39,27
GENE00568,14,13,22,6,11,19,3,4,5,4,3,11
GENE00569,14,14,14,18,20,6,5,14,13,3,10,16
GENE00570,15,53,37,42,21,26,33,37,34,13,24,38
GENE00571,254,160,204,281,245,130,163,328,175,209,44,372
GENE00572,56,71,61,87,104,75,115,65,34,67,57,52
GENE00573,37,75,56,31,28,46,29,33,73,56,40,58
GENE00574,1377,1012,1020,935,950,1509,1725,1172,725,1277,679,929
GENE00575,107,76,109,66,107,104,77,156,76,175,118,88
GENE00576,44,52,46,40,87,34,99,56,44,102,69,50
GENE00577,10,3,5,6,8,3,6,8,5,10,5,3
GENE00578,28,23,16,21,22,30,18,28,17,25,27,15
GENE00579,58,34,96,26,81,24,56,74,102,64,80,43
GENE00580,736,1735,1511,886,1964,967,533,855,765,1934,779,1979
GENE00581,167,85,124,142,118,77,189,142,55,40,104,242
GENE00582,14,9,21,9,9,11,8,4,2,1,1,2
GENE00583,596,865,266,730,256,752,732,591,798,211,269,457
GENE00584,426,384,336,677,432,277,695,620,659,498,537,695
GENE00585,11,11,9,6,11,14,13,12,12,3,8,12
GENE00586,47,47,44,58,88,72,107,81,62,37,88,55
GENE00587,21,43,52,80,38,120,16,27,25,19,32,16
GENE00588,66,55,49,47,38,40,49,51,50,66,61,34
GENE00589,4,20,13,14,12,8,13,16,5,10,11,21
GENE00590,182,297,148,65,250,261,242,223,223,211,369,202
GENE00591,24,10,17,34,12,11,6,5,11,22,13,19
GENE00592,121,130,120,305,182,255,152,152,153,88,162,240
GENE00593,18,11,7,11,4,5,6,6,4,17,8,15
GENE00594,193,208,366,311,294,261,87,56,96,18,46,83
GENE00595,7,3,10,1,15,2,7,2,8,7,10,7
GENE00596,126,80,133,116,162,154,123,83,63,141,51,121
GENE00597,411,467,674,366,511,376,348,379,515,238,449,350
GENE00598,906,1288,2139,841,366,1399,944,877,837,1686,1413,1280
GENE00599,1141,926,578,936,1426,1304,835,913,943,1336,1005,1604
GENE00600,411,301,170,481,209,226,281,511,281,229,228,329
GENE00601,513,284,417,445,565,253,365,348,390,147,374,408
GENE00602,107,89,168,72,79,132,172,118,110,88,95,80
GENE00603,2431,1201,1048,777,999,708,1908,1379,1599,1759,886,876
GENE00604,34,20,25,32,21,29,23,22,41,30,33,24
GENE00605,204,273,151,379,173,211,179,210,183,223,82,233
GENE00606,15,9,17,8,7,4,13,17,14,5,11,5
GENE00607,15,18,6,14,18,13,17,29,16,26,18,20
GENE00608,6,24,20,14,19,15,0,2,2,7,6,5
GENE00609,103,40,147,93,58,55,27,44,39,21,40,23
GENE00610,93,30,45,102,80,41,47,79,69,40,108,37
GENE00611,5,9,7,8,11,5,21,11,13,12,8,9
GENE00612,182,113,95,54,153,155,88,131,145,190,146,159
GENE00613,44,20,79,49,58,17,56,43,44,74,33,35
GENE00614,491,929,1021,917,827,969,4568,3203,662,2186,2726,3194
GENE00615,192,250,272,209,128,154,694,647,573,618,774,703
GENE00616,39,57,87,48,72,74,63,75,48,57,91,77
GENE00617,599,388,648,1232,550,634,655,1075,449,860,1069,618
GENE00618,313,287,553,443,146,187,265,219,238,302,191,272
GENE00619,184,122,80,95,173,90,88,164,231,83,129,71
GENE00620,859,804,1103,1361,956,1022,1665,1197,1289,824,1025,1242
GENE00621,15,19,7,22,16,14,15,13,10,4,16,8
GENE00622,12,31,12,22,16,16,20,6,24,22,28,21
GENE00623,3,7,5,1,15,5,7,6,1,6,10,4
GENE00624,14,9,11,11,8,7,7,10,3,6,9,6
GENE00625,118,68,80,81,90,131,237,126,179,193,132,458
GENE00626,1036,1205,536,1553,1109,2298,792,1212,1154,1699,1977,997
GENE00627,47,83,74,31,47,57,59,85,115,110,83,85
GENE00628,7,7,7,12,6,7,24,4,10,5,4,7
GENE00629,128,75,150,151,130,143,257,227,121,160,131,139
GENE00630,81,55,86,41,30,20,46,84,61,122,59,77
GENE00631,122,673,564,476,296,395,861,1733,960,1324,923,1983
GENE00632,138,150,247,77,425,357,264,138,222,115,264,155
GENE00633,30,23,82,24,66,36,34,20,40,37,67,48
GENE00634,330,367,151,409,163,408,618,305,373,353,348,454
GENE00635,14,20,38,17,39,24,21,19,32,47,48,24
GENE00636,173,57,95,85,60,65,67,78,139,142,75,114
GENE00637,938,190,1139,632,320,894,270,234,194,246,217,162
GENE00638,18,25,17,15,16,15,18,8,18,17,19,22
GENE00639,1326,1628,2017,789,1359,835,1545,514,2169,2138,1447,1247
GENE00640,712,1036,1264,1328,1742,1921,3508,961,1781,1920,1197,1370
GENE00641,158,184,73,83,89,60,22,12,28,56,84,11
GENE00642,4,13,5,21,18,6,15,12,5,13,6,20
GENE00643,117,139,39,51,91,76,246,164,217,128,268,248
GENE00644,145,83,14,56,77,50,177,54,53,80,94,98
GENE00645,1549,1051,4097,1910,1317,2509,2684,2057,3214,2002,2497,2034
GENE00646,12,11,29,8,32,16,10,14,15,26,17,6
GENE00647,107,40,32,57,63,95,83,85,82,98,30,27
GENE00648,466,276,259,199,223,342,344,227,259,149,275,398
GENE00649,998,362,774,813,683,1054,1606,831,855,788,963,874
GENE00650,11,7,16,9,10,10,5,7,17,11,11,21
GENE00651,2633,2038,1061,2414,1513,2726,460,564,497,539,989,487
GENE00652,7,15,12,4,6,7,6,4,5,2,3,0
GENE00653,69,92,81,16,123,87,58,126,97,73,90,70
GENE00654,53,31,32,44,24,35,38,34,19,40,43,33
GENE00655,111,144,216,191,113,164,174,89,125,162,105,242
GENE00656,1649,1010,1050,921,831,1322,1034,515,979,1004,1280,1777
GENE00657,92,40,65,49,37,22,34,50,56,35,45,40
GENE00658,8,10,11,10,4,9,8,7,7,10,13,6
GENE00659,28,31,54,14,38,18,38,12,28,12,16,56
GENE00660,6,10,16,9,11,14,6,11,13,10,8,9
GENE00661,8,6,2,4,2,7,7,7,5,11,3,10
GENE00662,741,302,293,401,338,269,517,437,299,238,687,557
GENE00663,806,1162,1135,1828,578,1121,658,1317,1242,1039,727,693
GENE00664,21,12,15,14,4,21,33,22,12,34,8,19
GENE00665,1473,884,1328,1413,590,469,2165,1916,704,1723,1243,1526
GENE00666,625,587,665,563,534,253,353,343,430,869,831,394
GENE00667,24,31,36,14,17,18,44,12,14,30,15,28
GENE00668,12,14,19,25,9,18,20,63,63,39,18,62
GENE00669,9,28,14,10,13,31,15,18,20,15,24,53
GENE00670,88,55,39,54,88,81,42,45,59,25,61,52
GENE00671,79,188,144,131,123,176,92,149,53,36,197,85
GENE00672,767,359,248,570,646,399,512,761,749,880,697,606
GENE00673,1187,1443,2803,1945,2147,1186,1369,2641,1558,972,2727,1097
GENE00674,2083,1658,1380,1193,929,1326,794,1968,1063,1410,1160,1073
GENE00675,404,622,307,292,132,230,249,256,411,431,173,512
GENE00676,30,20,17,27,14,24,21,14,29,30,18,12
GENE00677,48,52,104,46,32,59,58,31,154,116,111,62
GENE00678,301,208,308,370,202,324,215,257,206,351,138,402
GENE00679,12,19,20,2,8,9,5,10,23,18,2,9
GENE00680,1791,1494,2619,1030,1283,4029,1957,2579,1374,1559,2532,1074
GENE00681,1828,1433,818,599,890,796,513,1237,1054,487,219,1953
GENE00682,78,41,28,38,39,27,71,46,47,27,35,73
GENE00683,302,414,1552,651,1612,2527,1456,928,3109,2223,646,1591
GENE00684,318,292,243,569,374,393,268,364,610,209,300,166
GENE00685,14,14,14,11,13,7,9,12,21,9,7,12
GENE00686,78,89,92,71,112,102,112,46,58,60,113,174
GENE00687,27,48,37,37,42,38,35,21,14,24,28,55
GENE00688,253,201,538,397,108,165,151,234,262,247,346,69
GENE00689,17,15,5,14,12,21,9,6,10,13,8,19
GENE00690,49,90,35,105,62,81,36,34,104,92,124,105
GENE00691,5,16,25,10,15,13,35,10,44,15,13,7
GENE00692,194,181,135,120,148,113,116,216,102,122,125,117
GENE00693,219,159,129,71,144,105,55,103,108,129,177,98
GENE00694,9,16,13,20,25,28,15,8,32,20,5,18
GENE00695,74,90,248,190,133,164,72,60,63,223,176,122
GENE00696,11,4,8,7,3,17,6,14,1,11,17,10
GENE00697,227,402,138,222,422,323,1151,321,369,256,155,307
GENE00698,18,45,6,20,14,25,16,30,12,14,27,44
GENE00699,191,129,171,99,234,91,145,72,68,139,146,61
GENE00700,3,6,6,4,8,0,6,4,2,3,2,1
GENE00701,11,14,25,22,11,14,19,18,14,21,12,8
GENE00702,5,7,3,8,3,10,4,11,5,12,8,8
GENE00703,14,15,16,14,9,5,12,5,7,17,3,12
GENE00704,30,120,93,28,26,48,63,47,34,89,93,39
GENE00705,526,347,259,255,227,464,182,417,247,295,214,520
GENE00706,9,2,16,2,13,13,11,21,13,7,13,27
GENE00707,484,505,605,330,455,981,627,470,434,1710,405,562
GENE00708,28,54,24,37,23,23,21,13,17,23,47,29
GENE00709,1,7,8,17,11,9,8,15,5,7,15,11
GENE00710,237,162,143,82,199,77,223,66,99,71,155,87
GENE00711,143,77,67,72,71,71,115,87,75,189,72,98
GENE00712,28,35,16,20,42,43,25,18,28,48,23,21
GENE00713,88,115,48,63,145,36,64,92,48,60,68,88
GENE00714,9,13,12,9,11,13,7,4,11,13,16,7
GENE00715,43,25,23,28,12,34,16,25,13,21,32,27
GENE00716,6,12,8,8,5,9,3,5,14,8,9,5
GENE00717,755,437,575,632,255,751,891,324,588,324,253,586
GENE00718,1550,1152,609,1470,1502,1327,2016,755,1629,1850,1504,1924
GENE00719,172,163,94,107,132,152,89,157,136,159,75,94
GENE00720,102,43,77,60,129,83,41,69,88,84,71,47
GENE00721,603,339,238,298,604,502,214,455,549,442,197,156
GENE00722,139,291,274,150,299,160,77,127,284,288,267,334
GENE00723,143,233,133,150,318,262,138,139,102,278,132,255
GENE00724,60,49,40,82,37,77,30,44,29,31,28,50
GENE00725,811,358,636,442,556,429,386,214,184,294,134,262
GENE00726,15,11,21,8,15,44,31,32,8,36,12,21
GENE00727,602,173,747,439,354,471,257,513,710,1438,451,257
GENE00728,269,201,449,707,300,133,259,776,334,291,104,298
GENE00729,125,59,87,125,120,226,59,86,109,67,201,100
GENE00730,91,47,41,55,91,70,138,72,113,62,95,100
GENE00731,108,38,61,43,64,55,63,55,59,53,46,38
GENE00732,23,9,8,15,26,13,9,29,13,18,14,21
GENE00733,1767,877,2095,1478,1245,754,1304,696,983,1429,1487,914
GENE00734,639,555,723,193,329,470,982,638,620,315,616,431
GENE00735,286,391,369,325,771,519,197,380,807,921,296,448
GENE00736,5,9,2,4,11,9,20,22,30,43,27,80
GENE00737,31,11,23,21,11,19,35,12,10,3,12,16
GENE00738,226,287,308,263,290,205,460,409,387,341,295,340
GENE00739,505,604,472,419,557,429,234,370,382,606,276,178
GENE00740,2167,1204,1645,1253,1036,1930,983,1987,1937,1842,2535,2072
GENE00741,1575,529,542,712,571,729,212,147,282,177,321,326
GENE00742,206,396,470,204,188,340,381,89,125,295,271,433
GENE00743,547,658,1248,971,864,1002,480,693,819,1096,746,533
GENE00744,639,601,690,870,1510,837,1007,852,1499,671,993,766
GENE00745,20,34,21,46,25,33,44,26,37,42,46,22
GENE00746,147,140,132,144,68,144,292,139,79,105,153,182
GENE00747,441,670,411,629,464,250,440,162,212,436,320,312
GENE00748,65,299,413,188,108,228,569,250,212,588,502,569
GENE00749,65,70,114,90,34,173,69,77,174,128,138,297
GENE00750,5,7,6,4,5,5,9,5,5,2,3,9
GENE00751,20,33,36,37,23,22,27,18,32,23,33,18
GENE00752,20,24,37,55,28,27,24,15,32,40,32,19
GENE00753,176,66,134,129,92,77,184,132,93,122,142,124
GENE00754,12,9,20,17,24,19,19,17,11,16,11,16
GENE00755,165,178,436,171,177,159,272,182,241,43,223,250
GENE00756,78,122,74,200,134,69,163,128,165,54,41,96
GENE00757,2237,1798,1586,1521,1108,2574,653,1352,1880,2102,1904,1639
GENE00758,250,572,701,520,356,491,527,624,671,833,516,278
GENE00759,82,170,126,103,271,254,232,360,305,448,177,366
GENE00760,575,1379,507,526,500,471,598,673,721,501,384,380
GENE00761,291,236,183,117,130,181,341,421,505,188,91,162
GENE00762,22,22,45,37,68,60,39,57,21,52,36,82
GENE00763,10,35,28,26,20,26,14,26,19,12,12,10
GENE00764,130,542,340,504,592,325,540,240,259,183,712,354
GENE00765,3,11,7,12,2,5,10,4,10,9,9,4
GENE00766,569,1576,1004,1749,1260,1527,475,1253,1634,610,1821,2111
GENE00767,469,332,255,622,390,264,559,172,333,238,632,661
GENE00768,441,410,241,251,272,234,348,456,219,287,238,512
GENE00769,309,331,303,525,797,758,317,317,362,199,218,368
GENE00770,11,40,32,16,18,20,14,28,12,11,23,18
GENE00771,559,584,200,223,416,692,500,374,795,387,224,416
GENE00772,1347,1885,1726,1407,869,1205,3584,2087,1450,1417,1695,1238
GENE00773,13,6,11,6,18,20,14,14,10,21,15,21
GENE00774,121,94,53,95,76,72,93,38,67,50,22,78
GENE00775,146,270,66,95,76,107,85,112,70,145,87,111
GENE00776,1431,1610,1009,2715,669,2200,1142,2610,1308,1917,1545,1590
GENE00777,376,852,785,882,691,386,451,575,1204,345,582,736
GENE00778,903,841,780,424,286,778,372,475,1056,653,498,465
GENE00779,512,314,211,126,203,245,904,1244,666,1110,603,893
GENE00780,12,50,50,21,27,37,28,23,37,36,36,30
GENE00781,13,6,4,5,8,5,6,5,3,18,3,4
GENE00782,24,40,34,35,40,48,29,45,49,26,47,62
GENE00783,23,3,7,12,10,12,7,13,8,8,6,14
GENE00784,12,31,22,24,14,28,30,31,15,12,23,52
GENE00785,24,21,16,54,48,16,23,18,14,16,29,41
GENE00786,7,6,4,14,12,15,1,6,4,1,1,1
GENE00787,10,22,11,19,19,29,9,2,22,12,12,17
GENE00788,166,162,82,167,142,86,190,132,156,193,215,221
GENE00789,529,884,732,570,1625,694,1196,1528,802,872,1151,920
GENE00790,129,269,184,309,235,296,322,384,365,264,139,291
GENE00791,8,8,17,5,4,16,7,3,10,1,19,7
GENE00792,201,230,552,389,586,611,259,607,413,865,333,612
GENE00793,7,7,6,5,3,5,6,2,7,8,4,17
GENE00794,773,488,1122,420,1178,395,594,288,540,1216,954,600
GENE00795,93,73,47,96,215,129,89,95,69,92,66,145
GENE00796,2689,280,993,1922,832,863,2722,1326,1930,2270,1397,1897
GENE00797,187,302,186,309,217,424,969,1232,738,573,650,840
GENE00798,772,998,2458,1582,1734,866,1933,1235,1496,1003,796,1905
GENE00799,540,732,644,340,770,343,365,683,810,329,744,812
GENE00800,267,193,231,281,701,276,215,240,181,152,212,133
GENE00801,59,49,28,17,43,26,19,19,38,42,40,43
GENE00802,124,285,126,193,324,250,156,78,178,173,157,138
GENE00803,960,867,1049,1400,983,1399,379,377,499,269,486,362
GENE00804,4,4,2,12,7,6,12,10,8,17,11,8
GENE00805,5,10,1,2,14,5,9,12,4,11,13,4
GENE00806,1065,811,1413,1533,1180,703,775,745,1236,1080,1320,1291
GENE00807,10,6,2,6,5,8,8,5,5,6,7,6
GENE00808,504,413,574,414,469,399,216,209,347,460,295,359
GENE00809,24,14,6,9,23,9,12,15,10,9,14,17
GENE00810,43,46,36,33,72,37,61,61,38,47,117,52
GENE00811,546,464,845,594,885,696,564,618,798,900,687,1122
GENE00812,65,45,60,64,53,43,55,62,110,61,40,54
GENE00813,29,24,11,19,18,20,11,26,14,15,29,32
GENE00814,38,143,112,240,69,54,107,63,41,76,236,91
GENE00815,11,19,5,23,6,13,19,11,7,9,10,10
GENE00816,56,69,64,50,33,105,142,257,113,155,89,198
GENE00817,1819,1577,903,2527,1189,908,702,1445,1269,669,789,515
GENE00818,166,190,439,168,208,218,211,443,275,219,326,201
GENE00819,54,87,58,49,78,118,25,16,4,22,30,34
GENE00820,701,238,190,170,541,421,318,433,343,278,437,198
GENE00821,111,111,108,86,167,130,83,102,253,128,108,105
GENE00822,78,90,50,84,94,115,81,105,163,179,136,55
GENE00823,51,49,52,52,30,61,74,51,16,46,41,52
GENE00824,11,6,0,5,4,6,5,6,3,0,3,5
GENE00825,73,66,57,33,42,28,38,14,30,58,43,68
GENE00826,1386,1192,1208,1685,1468,961,1602,594,1306,1456,1164,1318
GENE00827,647,421,448,653,751,557,444,366,406,391,473,249
GENE00828,842,537,983,893,1536,1321,801,1736,1327,1399,1642,1385
GENE00829,1014,1055,724,791,1262,893,1211,395,555,862,786,1504
GENE00830,5,23,16,8,4,24,15,5,13,4,18,9
GENE00831,247,249,83,218,107,160,113,197,283,178,106,93
GENE00832,9,8,5,6,6,11,3,4,2,11,3,10
GENE00833,6,11,12,11,18,10,15,9,9,14,28,19
GENE00834,146,206,164,151,182,206,106,129,41,165,151,228
GENE00835,65,107,104,210,83,136,169,132,158,73,59,121
GENE00836,1292,1470,990,773,460,1396,609,1092,551,502,661,1102
GENE00837,516,251,505,721,117,400,309,610,533,506,750,609
GENE00838,289,148,179,348,168,328,203,142,156,198,85,184
GENE00839,122,489,293,107,661,426,434,412,391,269,285,300
GENE00840,400,640,641,400,256,384,322,411,695,369,240,208
GENE00841,2,14,6,16,3,20,8,12,3,5,7,13
GENE00842,5,7,2,6,17,5,5,7,14,7,9,12
GENE00843,2542,1527,1263,1046,2200,1511,1093,820,1373,1062,1363,754
GENE00844,55,72,92,47,29,48,28,61,24,53,34,31
GENE00845,10,13,9,10,18,14,12,7,5,5,5,6
GENE00846,52,111,37,50,55,60,33,46,73,90,29,59
GENE00847,14,4,16,9,17,5,12,11,3,21,20,16
GENE00848,189,170,142,155,83,91,262,84,173,252,113,300
GENE00849,67,60,62,44,72,85,34,45,24,31,35,23
GENE00850,1,6,14,7,12,6,8,5,14,3,5,7
GENE00851,176,360,148,276,151,186,405,153,326,75,236,213
GENE00852,6,14,6,12,3,8,8,10,17,7,7,11
GENE00853,24,7,11,8,8,32,9,11,18,28,17,11
GENE00854,30,15,23,20,13,25,15,20,21,29,11,16
GENE00855,197,521,464,411,438,499,553,489,275,412,565,381
GENE00856,124,66,164,148,139,226,58,147,206,169,110,109
GENE00857,10,27,20,26,32,18,16,29,23,24,16,19
GENE00858,333,569,757,691,221,404,641,591,290,769,709,337
GENE00859,20,5,0,11,4,7,4,7,19,8,11,13
GENE00860,12,5,3,7,3,2,7,11,3,6,9,11
GENE00861,531,546,536,1156,465,397,827,398,1134,837,551,841
GENE00862,1010,1380,1249,834,897,1527,1038,2265,980,1052,2109,2175
GENE00863,36,28,25,12,48,40,31,30,56,22,30,35
GENE00864,183,132,135,255,167,124,131,106,315,130,270,159
GENE00865,12,4,7,23,9,4,13,5,24,22,4,3
GENE00866,75,190,141,318,334,217,175,135,195,165,138,200
GENE00867,7,40,28,18,21,17,91,61,45,56,46,96
GENE00868,1460,1008,607,671,537,470,738,456,695,431,354,856
GENE00869,8,7,27,17,10,21,4,14,2,2,14,10
GENE00870,39,47,18,32,32,16,19,6,5,8,9,19
GENE00871,299,413,675,541,367,245,648,653,504,406,322,207
GENE00872,2345,2593,2278,1162,1991,1917,2424,1273,2338,2668,1448,1508
GENE00873,42,48,13,25,23,21,44,73,35,31,10,33
GENE00874,2643,2197,2341,1049,2415,1927,524,610,714,486,701,575
GENE00875,119,92,45,40,125,75,31,21,54,29,107,51
GENE00876,11,9,8,17,19,20,16,20,11,12,18,23
GENE00877,84,51,29,44,64,33,41,47,55,47,77,49
GENE00878,1238,674,1326,747,695,290,897,961,667,1090,101,600
GENE00879,164,169,110,183,118,142,152,143,223,158,230,206
GENE00880,48,103,17,22,63,48,32,80,49,34,59,65
GENE00881,163,168,156,92,172,120,80,147,138,99,142,236
GENE00882,17,15,16,9,27,4,3,5,0,6,7,6
GENE00883,1710,1405,2194,2359,2651,1696,2296,1307,915,1745,1243,1382
GENE00884,1157,866,1795,937,1107,365,254,743,969,549,961,685
GENE00885,36,16,16,24,26,28,37,11,39,30,12,21
GENE00886,26,14,11,24,51,11,49,18,21,28,14,52
